County,Year,Value
TUOLUMME,2015,2047389
TUOLUMME,2016,2232551
TUOLUMME,2017,2455844
TUOLUMME,2018,2284494
VENTURA,2001,37003295
VENTURA,2002,38017158
VENTURA,2003,40367369
VENTURA,2004,44219449
VENTURA,2005,46386360
VENTURA,2006,51531025
VENTURA,2007,55457322
VENTURA,2008,50732889
VENTURA,2009,50423666
VENTURA,2010,50250247
VENTURA,2011,47396726
VENTURA,2012,46388410
VENTURA,2013,46807738
VENTURA,2014,46460736
VENTURA,2015,46505916
VENTURA,2016,46203169
VENTURA,2017,46470387
VENTURA,2018,46592945
YOLO,2001,9328168
YOLO,2002,9470967
YOLO,2003,9788994
YOLO,2004,10237401
YOLO,2005,10372418
YOLO,2006,10529063
YOLO,2007,11048126
YOLO,2008,11083682
YOLO,2009,10663703
YOLO,2010,10459431
YOLO,2011,10691024
YOLO,2012,10773643
YOLO,2013,11180876
YOLO,2014,11578868
YOLO,2015,12252116
YOLO,2016,12757435
YOLO,2017,13013233
YOLO,2018,13472232
YUBA,2001,2038066
YUBA,2002,2194588
YUBA,2003,2309532
YUBA,2004,2330239
YUBA,2005,2346889
YUBA,2006,2452749
YUBA,2007,2342640
YUBA,2008,2507041
YUBA,2009,2574946
YUBA,2010,2573496
YUBA,2011,2705047
YUBA,2012,2667315
YUBA,2013,2771743
YUBA,2014,2644836
YUBA,2015,2637134
YUBA,2016,2793149
YUBA,2017,2948046
YUBA,2018,2980485
