County,Year,Value
HUMBOLDT,2006,4686975
HUMBOLDT,2007,4604222
HUMBOLDT,2008,4757798
HUMBOLDT,2009,4678757
HUMBOLDT,2010,4960006
HUMBOLDT,2011,4955117
HUMBOLDT,2012,4779382
HUMBOLDT,2013,4752274
HUMBOLDT,2014,4708055
HUMBOLDT,2015,4825000
HUMBOLDT,2016,4870723
HUMBOLDT,2017,4986467
HUMBOLDT,2018,5053603
IMPERIAL,2001,5055707
IMPERIAL,2002,6085250
IMPERIAL,2003,5656713
IMPERIAL,2004,5429442
IMPERIAL,2005,5902836
IMPERIAL,2006,6314043
IMPERIAL,2007,6082750
IMPERIAL,2008,7093442
IMPERIAL,2009,6844284
IMPERIAL,2010,6782574
IMPERIAL,2011,7039372
IMPERIAL,2012,6640258
IMPERIAL,2013,7020557
IMPERIAL,2014,7436925
IMPERIAL,2015,8042675
IMPERIAL,2016,8170398
IMPERIAL,2017,8155429
IMPERIAL,2018,8102824
INYO,2001,888852
INYO,2002,1024012
INYO,2003,989305
INYO,2004,1015571
INYO,2005,1004680
INYO,2006,1021034
INYO,2007,1009879
INYO,2008,1038311
INYO,2009,1014028
INYO,2010,1035891
INYO,2011,1018867
INYO,2012,1004491
INYO,2013,1098490
INYO,2014,1086591
INYO,2015,1102736
INYO,2016,1175758
INYO,2017,1224445
INYO,2018,1175310
KERN,2001,27651931
KERN,2002,31074712
KERN,2003,30772705
KERN,2004,33320481
KERN,2005,35506212
KERN,2006,40304624
KERN,2007,44041478
KERN,2008,42722024
KERN,2009,45552481
KERN,2010,43467286
KERN,2011,42644421
KERN,2012,46566041
KERN,2013,45534651
KERN,2014,45615554
KERN,2015,45836337
KERN,2016,45928331
KERN,2017,46781960
KERN,2018,47738604
KINGS,2001,4350004
KINGS,2002,4591095
KINGS,2003,5040485
KINGS,2004,5267905
KINGS,2005,5501006
KINGS,2006,5120762
KINGS,2007,5932036
KINGS,2008,5310546
KINGS,2009,4816012
KINGS,2010,4926324
KINGS,2011,5625719
KINGS,2012,5097311
KINGS,2013,5102357
KINGS,2014,5508259
KINGS,2015,5418677
KINGS,2016,5687938
KINGS,2017,5924008
KINGS,2018,5882811
LAKE,2001,1385305
LAKE,2002,1584348
LAKE,2003,1574743
LAKE,2004,1589149
LAKE,2005,1573537
LAKE,2006,1712250
LAKE,2007,1716471
LAKE,2008,1706256
LAKE,2009,1574731
LAKE,2010,1654537
LAKE,2011,1647944
LAKE,2012,1635183
LAKE,2013,1624472
LAKE,2014,1746436
LAKE,2015,1745616
LAKE,2016,1743577
LAKE,2017,1768943
LAKE,2018,1850962
LASSEN,2001,851805
LASSEN,2002,906232
LASSEN,2003,935553
LASSEN,2004,928176
LASSEN,2005,950455
LASSEN,2006,985665
LASSEN,2007,1010234
LASSEN,2008,1117944
LASSEN,2009,1048685
LASSEN,2010,1174895
LASSEN,2011,1142452
LASSEN,2012,1176584
LASSEN,2013,1159741
LASSEN,2014,1134084
LASSEN,2015,1153813
LASSEN,2016,1191247
LASSEN,2017,1071059
LASSEN,2018,1077095
LOS ANGELES,2001,473306527
LOS ANGELES,2002,482467282
LOS ANGELES,2003,499512771
LOS ANGELES,2004,514064136
LOS ANGELES,2005,525750328
LOS ANGELES,2006,547542672
LOS ANGELES,2007,555951086
LOS ANGELES,2008,569813740
LOS ANGELES,2009,547249104
LOS ANGELES,2010,561409984
LOS ANGELES,2011,571324012
LOS ANGELES,2012,576713190
LOS ANGELES,2013,587370781
LOS ANGELES,2014,604034122
LOS ANGELES,2015,628765253
LOS ANGELES,2016,639934876
LOS ANGELES,2017,662418536
LOS ANGELES,2018,681549961
MADERA,2001,3296292
MADERA,2002,3686064
MADERA,2003,3806442
MADERA,2004,4334990
MADERA,2005,4637784
MADERA,2006,4819111
MADERA,2007,4813208
MADERA,2008,4737574
MADERA,2009,4204961
MADERA,2010,4883226
MADERA,2011,4901149
MADERA,2012,5077248
MADERA,2013,5136705
MADERA,2014,5519576
MADERA,2015,5226294
MADERA,2016,5765929
MADERA,2017,6012170
MADERA,2018,5988270
MARIN,2001,16974299
MARIN,2002,17737235
MARIN,2003,18037937
MARIN,2004,17101741
MARIN,2005,16968339
MARIN,2006,17132556
MARIN,2007,16646417
MARIN,2008,16882230
MARIN,2009,16488858
MARIN,2010,16714186
MARIN,2011,16941630
MARIN,2012,17423348
MARIN,2013,17998671
MARIN,2014,18674876
MARIN,2015,19235345
MARIN,2016,20738025
MARIN,2017,22815861
MARIN,2018,25037176
MARIPOSA,2001,491027
MARIPOSA,2002,518565
MARIPOSA,2003,519523
MARIPOSA,2004,552645
MARIPOSA,2005,584022
MARIPOSA,2006,600634
MARIPOSA,2007,605648
MARIPOSA,2008,560458
MARIPOSA,2009,560777
MARIPOSA,2010,568150
MARIPOSA,2011,628251
MARIPOSA,2012,578248
MARIPOSA,2013,561559
MARIPOSA,2014,561339
MARIPOSA,2015,565432
MARIPOSA,2016,608856
MARIPOSA,2017,664863
MARIPOSA,2018,764080
MENDOCINO,2001,2884059
MENDOCINO,2002,2989947
MENDOCINO,2003,2987454
MENDOCINO,2004,2878204
MENDOCINO,2005,2895964
MENDOCINO,2006,3027143
MENDOCINO,2007,2999661
MENDOCINO,2008,3082360
MENDOCINO,2009,3062845
MENDOCINO,2010,3213999
MENDOCINO,2011,3047664
MENDOCINO,2012,2968376
MENDOCINO,2013,2992637
MENDOCINO,2014,3046083
MENDOCINO,2015,3104933
MENDOCINO,2016,3087672
MENDOCINO,2017,3261212
MENDOCINO,2018,3290676
MERCED,2001,5919851
