Disease,County,Year,MALE,FEMALE
Amebiasis,DEL NORTE,2006,0,0
Amebiasis,DEL NORTE,2007,0,0
Amebiasis,DEL NORTE,2008,0,0
Amebiasis,DEL NORTE,2009,0,0
Amebiasis,DEL NORTE,2010,0,0
Amebiasis,DEL NORTE,2011,0,0
Amebiasis,DEL NORTE,2012,0,0
Amebiasis,DEL NORTE,2013,0,0
Amebiasis,DEL NORTE,2014,0,0
Amebiasis,DEL NORTE,2015,0,0
Amebiasis,DEL NORTE,2016,0,0
Amebiasis,DEL NORTE,2017,0,0
Amebiasis,DEL NORTE,2018,0,0
Amebiasis,EL DORADO,2001,1,0
Amebiasis,EL DORADO,2002,0,0
Amebiasis,EL DORADO,2003,0,0
Amebiasis,EL DORADO,2004,0,0
Amebiasis,EL DORADO,2005,0,0
Amebiasis,EL DORADO,2006,0,0
Amebiasis,EL DORADO,2007,0,1
Amebiasis,EL DORADO,2008,0,0
Amebiasis,EL DORADO,2009,0,0
Amebiasis,EL DORADO,2010,0,0
Amebiasis,EL DORADO,2011,0,0
Amebiasis,EL DORADO,2012,0,0
Amebiasis,EL DORADO,2013,0,0
Amebiasis,EL DORADO,2014,0,0
Amebiasis,EL DORADO,2015,0,0
Amebiasis,EL DORADO,2016,0,0
Amebiasis,EL DORADO,2017,0,0
Amebiasis,EL DORADO,2018,1,1
Amebiasis,FRESNO,2001,5,1
Amebiasis,FRESNO,2002,4,6
Amebiasis,FRESNO,2003,2,4
Amebiasis,FRESNO,2004,0,2
Amebiasis,FRESNO,2005,0,1
Amebiasis,FRESNO,2006,0,0
Amebiasis,FRESNO,2007,1,1
Amebiasis,FRESNO,2008,1,1
Amebiasis,FRESNO,2009,0,0
Amebiasis,FRESNO,2010,0,0
Amebiasis,FRESNO,2011,1,1
Amebiasis,FRESNO,2012,2,0
Amebiasis,FRESNO,2013,0,0
Amebiasis,FRESNO,2014,1,1
Amebiasis,FRESNO,2015,0,4
Amebiasis,FRESNO,2016,4,3
Amebiasis,FRESNO,2017,4,0
Amebiasis,FRESNO,2018,3,2
Amebiasis,GLENN,2001,0,0
Amebiasis,GLENN,2002,0,0
Amebiasis,GLENN,2003,0,0
Amebiasis,GLENN,2004,0,0
Amebiasis,GLENN,2005,0,0
Amebiasis,GLENN,2006,0,0
Amebiasis,GLENN,2007,0,0
Amebiasis,GLENN,2008,0,0
Amebiasis,GLENN,2009,0,0
Amebiasis,GLENN,2010,0,0
Amebiasis,GLENN,2011,,
Amebiasis,GLENN,2012,0,0
Amebiasis,GLENN,2013,0,0
Amebiasis,GLENN,2014,0,0
Amebiasis,GLENN,2015,,
Amebiasis,GLENN,2016,,
Amebiasis,GLENN,2017,0,0
Amebiasis,GLENN,2018,0,0
Amebiasis,HUMBOLDT,2001,1,1
Amebiasis,HUMBOLDT,2002,0,0
Amebiasis,HUMBOLDT,2003,0,0
Amebiasis,HUMBOLDT,2004,0,0
Amebiasis,HUMBOLDT,2005,0,0
Amebiasis,HUMBOLDT,2006,1,2
Amebiasis,HUMBOLDT,2007,1,1
Amebiasis,HUMBOLDT,2008,0,0
Amebiasis,HUMBOLDT,2009,0,1
Amebiasis,HUMBOLDT,2010,1,0
Amebiasis,HUMBOLDT,2011,1,0
Amebiasis,HUMBOLDT,2012,0,0
Amebiasis,HUMBOLDT,2013,0,0
Amebiasis,HUMBOLDT,2014,0,0
Amebiasis,HUMBOLDT,2015,0,0
Amebiasis,HUMBOLDT,2016,0,0
Amebiasis,HUMBOLDT,2017,1,0
Amebiasis,HUMBOLDT,2018,0,0
Amebiasis,IMPERIAL,2001,0,0
Amebiasis,IMPERIAL,2002,1,0
Amebiasis,IMPERIAL,2003,0,0
Amebiasis,IMPERIAL,2004,1,0
Amebiasis,IMPERIAL,2005,0,0
Amebiasis,IMPERIAL,2006,0,0
Amebiasis,IMPERIAL,2007,1,0
Amebiasis,IMPERIAL,2008,0,0
Amebiasis,IMPERIAL,2009,0,0
Amebiasis,IMPERIAL,2010,1,0
Amebiasis,IMPERIAL,2011,2,1
Amebiasis,IMPERIAL,2012,1,1
Amebiasis,IMPERIAL,2013,0,0
Amebiasis,IMPERIAL,2014,0,0
Amebiasis,IMPERIAL,2015,0,0
Amebiasis,IMPERIAL,2016,0,0
Amebiasis,IMPERIAL,2017,4,0
Amebiasis,IMPERIAL,2018,1,1
Amebiasis,INYO,2001,0,0
Amebiasis,INYO,2002,0,0
Amebiasis,INYO,2003,0,0
Amebiasis,INYO,2004,0,0
Amebiasis,INYO,2005,0,0
Amebiasis,INYO,2006,0,0
Amebiasis,INYO,2007,0,0
Amebiasis,INYO,2008,0,0
Amebiasis,INYO,2009,0,0
Amebiasis,INYO,2010,0,0
Amebiasis,INYO,2011,0,0
Amebiasis,INYO,2012,0,0
Amebiasis,INYO,2013,0,0
Amebiasis,INYO,2014,,
Amebiasis,INYO,2015,0,0
Amebiasis,INYO,2016,0,0
Amebiasis,INYO,2017,0,0
Amebiasis,INYO,2018,0,0
Amebiasis,KERN,2001,3,1
Amebiasis,KERN,2002,1,1
Amebiasis,KERN,2003,1,1
Amebiasis,KERN,2004,0,2
Amebiasis,KERN,2005,1,0
Amebiasis,KERN,2006,0,1
Amebiasis,KERN,2007,0,1
Amebiasis,KERN,2008,2,0
Amebiasis,KERN,2009,2,0
Amebiasis,KERN,2010,0,1
Amebiasis,KERN,2011,1,0
Amebiasis,KERN,2012,2,0
Amebiasis,KERN,2013,0,0
Amebiasis,KERN,2014,3,0
Amebiasis,KERN,2015,1,1
Amebiasis,KERN,2016,1,0
Amebiasis,KERN,2017,4,2
Amebiasis,KERN,2018,2,1
Amebiasis,KINGS,2001,0,0
Amebiasis,KINGS,2002,2,0
Amebiasis,KINGS,2003,1,1
Amebiasis,KINGS,2004,0,0
Amebiasis,KINGS,2005,0,1
Amebiasis,KINGS,2006,1,0
Amebiasis,KINGS,2007,0,0
Amebiasis,KINGS,2008,0,0
Amebiasis,KINGS,2009,0,0
Amebiasis,KINGS,2010,0,0
Amebiasis,KINGS,2011,0,0
Amebiasis,KINGS,2012,0,0
Amebiasis,KINGS,2013,0,0
Amebiasis,KINGS,2014,1,0
Amebiasis,KINGS,2015,0,0
Amebiasis,KINGS,2016,0,0
Amebiasis,KINGS,2017,0,0
Amebiasis,KINGS,2018,0,0
Amebiasis,LAKE,2001,0,0
Amebiasis,LAKE,2002,0,0
Amebiasis,LAKE,2003,0,0
Amebiasis,LAKE,2004,0,0
Amebiasis,LAKE,2005,0,0
Amebiasis,LAKE,2006,0,0
Amebiasis,LAKE,2007,0,0
Amebiasis,LAKE,2008,0,0
Amebiasis,LAKE,2009,0,0
Amebiasis,LAKE,2010,0,0
Amebiasis,LAKE,2011,0,0
Amebiasis,LAKE,2012,0,0
Amebiasis,LAKE,2013,0,0
Amebiasis,LAKE,2014,0,0
Amebiasis,LAKE,2015,0,0
Amebiasis,LAKE,2016,0,0
Amebiasis,LAKE,2017,,
Amebiasis,LAKE,2018,,
Amebiasis,LASSEN,2001,0,0
Amebiasis,LASSEN,2002,0,0
Amebiasis,LASSEN,2003,0,0
